combination,result
-4,"Стресс, вызванный неудовлетворенной потребностью в активном взаимодействии с окружающими и избегании серьезной ответственности. Чувство страха, связанное с опасениями потерять престижность собственной-позиции. Защитный механизм — вытеснение истинных причин конфликта. Завышенные требования к окружающим, отсутствие гибкости, нет установки на разумный компромисс. Беспокойство, дистресс, сниженный фон настроения."
-4-0,"Беспокойная напряженность. Неудовлетворена потребность в непосредственной самореализации в активном взаимодействии с окружающими и без обременяющей ответственности. Вытеснение истинных причин неудовлетворенности. Убежденность в том, что надежды и желания должны быть реализованы сами собой, без применения собственных усилий. Потребность в признании и помощи со стороны окружающих, чувство страха и неуверенности."
-4-1,"Тревожное беспокойство, базирующееся на внутренне конфликтном сочетании разнонаправленных тенденций: стремления к непосредственной самореализации без обременяющей ответственности сталкивается с тенденцией к повышенному самоконтролю. Колебания настроения, проблема уязвленного самолюбия, неудовлетворенность тщеславия. Переживание нарушенных конгруэнтных отношений со значимыми окружающими. Стремление к подавлению неустойчивости эмоциональных проявлений. Дистресс. Выраженная подверженность средовым воздействиям, зависимость от реакции значимых других."
-4-2,"Состояние стресса, вызванное неудовлетворенностью потребности в спонтанной самореализации без обременительной ответственности, противоречиво сочетающейся с ригидностью рациональных установок на удержание собственных позиций. Конфликт между беспечной уверенностью в саморешаемости проблем и трезвой оценкой реально существующей ситуации. Тревожная неуверенность, пессимистический фон настроения, трудности в принятии решений, бездеятельность."
-4-3,"Блокирована потребность в самореализации, дистресс, тревожность и беспокойство. Высокий уровень притязаний и потребность в признании сталкиваются с противодействием, вызывающим неуверенность в возможности успеха. Вытеснение истинных причин конфликта, стремление переложить ответственность за сложившуюся ситуацию на других. Склонность видеть себя в роли жертвы собственной доверчивости."
-4-5,"Неудовлетворенная потребность в спонтанной самореализации без обременительной ответственности и в сохранении собственной индивидуальности. Состояние характеризуется уходом от межличностных контактов в мир собственных переживаний. Сдержанность в проявлении чувств, недоверчивость; ирреальность притязаний маскируется замкнутостью. Настороженность, сензитивность. Подавлены творческие наклонности; экзальтация чувств под контролем."
-4-6,"Неудовлетворенная потребность в признании, беспокойство, тревога, комплекс собственного несовершенства маскируется демонстративностью поведения. Высокий уровень притязаний сталкивается с ощущением собственной изолированности. Жажда одобрения и успеха неудовлетворена. Состояние характеризуется переживанием чувства одиночества и неуверенности, маскируемых напускным безразличием, презрительным отношением к критике в свой адрес."
-4-7,"Стресс, связанный с блокировкой потребности в независимости и спонтанной самореализации. Напряженность, настороженность, настойчивая потребность в избавлении от каких бы то ни было ограничений. Неуверенность в возможности улучшения ситуации не снижает уровень притязаний и не приводит к компромиссным решениям."
-5,"Напряженность, связанная с тенденцией к сдерживанию эмоциональных проявлений. Выраженная избирательность в межличностных контактах, тонкость вкуса и повышенная сензитивность к внешним воздействиям диктует необходимость повышенного самоконтроля. Повышенные требования к окружающим как защита от собственной излишней доверчивости."
-5-0,"Нетерпеливость и напряженность, высокая мотивация достижения сочетается с чувством недостаточности понимания и сочувствия со стороны окружающих. Настороженная критичность в межличностных отношениях. Повышенные требования к окружающим как защита от собственной излишней доверчивости."
-5-1,"Неудовлетворенность в связи с блокировкой аффилиативной потребности в сфере значимых межличностных контактов. Беспокойная неудовлетворенность, раздражительность и нетерпеливость, вызывающие трудности концентрации внимания."
-5-2,"Блокирована потребность в уважении и понимании. Субъективное переживание униженности, отсутствие доверия и расположения к себе со стороны значимых окружающих. В связи с этим страдает самоуважение. Без поддержки и признания трудно принять необходимое решение и избавиться от унижающей достоинство ситуации."
-5-3,"Нет возможности реализовать потребность в сохранении собственной индивидуальности и той ""социальной ниши"", которая бы создавала ощущение понимания и безопасности. Возможны явления нервного переутомления, кардиологических функциональных нарушений. Состояние крайней разочарованности, потребность в сочувствии, ощущение собственного бессилия в стремлении к достижению цели."
-5-4,"Блокирована потребность в спонтанной самореализации без обременительной ответственности и в сохранении собственной индивидуальности. Состояние характеризуется уходом от межличностных контактов в мир собственных переживаний. Сдержанность в проявлении чувств, недоверчивость. Ирреальность притязаний маскируется замкнутостью. Настороженность, сензитивность. Подавлены творческие наклонности; экзальтация чувств под контролем."
-5-6,"Напряженность, вызванная трудностями в межличностных контактах, имеющих большую значимость. Высокий уровень притязаний вносит разлад в отношения. Ограничительные тенденции проявляются как мера защиты сензитивной личности, критичной, разборчивой, с независимостью суждений. Избирательность в контактах, интеллектуальная и эстетическая чувствительность."
-5-7,"Напряженность, вызванная ограничением собственной независимости внешними воздействиями. Выраженный субъективизм в оценке явлений окружающей жизни, избирательность в межличностных контактах, категоричность и бескомпромиссность в принятии самостоятельных решений. Потребность в независимости."
-6,"(Имеется в виду цветовой ряд, в котором 6-й цвет помечается как ""Тревога"" при наличии на первых позициях ахроматических или смешанных цветов — 6, 0 или если перед 6 стоит один из ярких эталонов.) Стресс, вызванный подавлением физиологических потребностей. Самоограничение, которое субъективно воспринимается как вынужденная необходимость для самоутверждения в связи с неудовлетворенной потребностью конгруэнтных отношений."
-6-0,"Стресс, вызванный подавлением физиологических потребностей. Неудовлетворенное желание найти признание и общность интересов в кругу значимых окружающих вызывает повышенную напряженность самоконтроля. Сдерживаемая чувственность, потребность в уважении и внимательном отношении."
-6-1,Неудовлетворенность и отсутствие взаимопонимания в сфере значимых межличностных контактов вызывает усиление контроля над чувственностью; подавление физиологических потребностей; неуверенность в себе. Стремление к конгруэнтным отношениям вступает в противоречие с тенденцией к отстаиванию своей индивидуальности.
-6-2,"Стресс вызван неудовлетворенностью потребности в сохранении личностной позиции, в уважении со стороны значимых окружающих. Высокий уровень притязаний находится в конфликтном соотношении с реальными обстоятельствами, ущемляющими самолюбие. Упорство сталкивается с собственной неуверенностью."
-6-3,"Стресс, связанный с подавлением физиологических потребностей. Сложившаяся ситуация ущемляет чувство независимости. Выраженный самоконтроль в сфере чувственности приводит к изоляции. Стремление к завоеванию признания и уважения со стороны значимых других. Неуверенность усугубляется недостатком внимания к своей персоне."
-6-4,"Нет возможности реализовать потребность в признании. Стремление скрыть неуверенность и тревогу демонстративностью поведения. Высокий уровень притязаний сталкивается с ощущением собственной изолированности. Жажда одобрения и успеха неудовлетворена. Состояние характеризуется переживанием чувства одиночества и неуверенности, маскируемых напускным безразличием, презрительным отношением к критике в свой адрес."
-6-5,"Напряженность, вызванная трудностями в межличностных контактах, имеющих большую значимость. Высокий уровень притязаний создает почву для разлада в отношениях. Ограничительные тенденции проявляются как мера защиты сензитивной личности, критичной, разборчивой, с независимостью суждений. Избирательность в контактах, интеллектуальная и эстетическая чувствительность. Защитный механизм сублимации."
-6-7,Протест в отношении запретов и нежелательных ограничений. Потребность распоряжаться своей судьбой.
-7,"(Имеется в виду цветовой ряд, в котором 7-й цвет помечается как ""Тревога"" при наличии на первых позициях ахроматических или смешанных цветов — 6,0 или перед 7 стоит один из ярких эталонов.) Интенсивность тенденции, выявляемой другими цветами. Потребность самостоятельно решать свои проблемы и распоряжаться своей судьбой."
-7-0,"Потребность в ярких переживаниях, общении, неистовая увлеченность, уверенность в себе, стремление достичь большего, неуемная активность."
-7-1,"Эмоциональная неустойчивость, связанная с неудовлетворенностью сложившихся отношений. Попытка контролировать свои чувства, чтобы скрыть свою ранимость, усиливает обостренную чувствительность к средовым воздействиям. Установка на компромиссное поведение. Беспокойство, сказывающееся на ослаблении функции внимания."
-7-2,Нет возможности реализовать потребность в независимости. Стремление избавиться от ограничений. В противодействии сильному давлению обстоятельств не достает целенаправленности.
-7-3,"Стресс, вызванный разочарованиями и препятствиями на пути к реализации своих намерений. Противодействие обстоятельствам, препятствующим свободной самореализации личности и раздражительность сочетаются с неуверенностью. Потребность в избавлении от ограничений и обретении свободы принятия решений. Фрустрирована потребность в независимости."
-7-4,"Стресс, связанный с блокированностью потребности в независимости и спонтанной самореализации. Напряженность, настойчивая потребность в избавлении от каких бы то ни было ограничений. Неуверенность в возможности улучшения ситуации не снижает уровень притязаний и не приводит к компромиссным решениям."
-7-5,"Стресс, вызванный ограничением собственной независимости внешними преградами. Чувствительность, впечатлительность, взыскательность в межличностных отношениях. Недоверчивость. Обособленность и требовательность к другим."
-7-6,"Стресс, вызванный ограничениями или запретами. Потребность распоряжаться своей судьбой. Протест против однообразия и заурядности. Настойчивость в отстаивании своего мнения, авторитарность. Повышенное чувство независимости."
+0-0,"(Эта функция появляется при сравнении двух выборов, когда в одном из выборов 0 находится на первом месте, а в другом — на последнем.) Противоречивость тенденций в сфере коммуникативной и общей активности. (Стремление к общению и боязнь общения одновременно.)"
+0-1,Тревожность и напряжение нивелируются пассивностью и отходом от эмоционально значимых контактов.
+0-2,Эмоциональная напряженность нивелируется попыткой уйти от ответственных решений.
+0-3,"Усталость и ощущение бессилия болезненно переживаются и вызывают защитную реакцию ограничительного поведения, несмотря на решимость добиться своего."
+0-4,"Несбывшиеся надежды и тревога за будущее вызвали реакцию ""ухода"". Подавленность, страх перед неизвестностью."
+0-5,"Застенчивость и недоверчивость, повышенная требовательность к другим в межличностных контактах."
+0-6,"Проблема уязвленного самолюбия, повышенная застенчивость при выраженной потребности в общении."
+0-7,"Стремление оградить себя от посягательств на свою независимость, потребность в покое."
+1-1,Противоречивость отношения к объекту привязанности от удовлетворенной до тревожно-неудовлетворенной.
+1-2,"Чувство собственного несовершенства, развившееся в результате неуспеха. Стремление уйти от ситуации, успокоиться, контролировать свои эмоции."
+1-3,Беспокойство в связи с бессмысленностью дальнейшей борьбы на пути к достижению цели; потребность в доброжелательных отношениях и безопасности побуждает усилить самоконтроль.
+1-4,Разочарования и страх перед будущим создают тревожный фон настроения. Потребность в гармонизации отношений с окружающими и повышении самоконтроля для избавления от чувства уязвленного самолюбия.
+1-5,"Потребность в глубокой привязанности не полностью удовлетворена, нет необходимого взаимопонимания, что приводит к повышению самоконтроля."
+1-6,Потребность в повышении собственной позиции за счет усиления самоконтроля.
+1-7,При выраженной самостоятельности и независимости стремление к избеганию конфликта за счет повышения самоконтроля.
+2-0А,"Настойчивость в отстаивании своей позиции из опасения, что могут лоявиться препятствия на пути к достижению цели."
+2-1,"Эмоциональная неудовлетворенность в связи с ситуацией, ущемляющей самолюбие. Стремление избавиться от тревожного беспокойства, скрывая его подчеркнутой уверенностью и самостоятельностью."
+2-2,Противоречивое соотношение между потребностью в самоутверждении и желанием избавиться от противодействия среды.
+2-3,"Переутомление и ощущение бессилия перед лицом трудностей, раздражение и горечь обиды. Повышенная чувствительность к критическим замечаниям в свой адрес."
+2-4,"Неудовлетворенность, бесперспективность, тревожные опасения, уязвленное самолюбие создают почву для беспокойства. Стремление отстоять свои позиции через упорство и требовательность к окружающим, сопротивляемость внешним обстоятельствам."
+2-5,"Рассудочный, пассивно-созерцательный подход, используемый для укрепления своих позиций и самоутверждения."
+2-6,Потребность в самоуважении реализуется через признание своей значимости референтной группой.
+2-7,"Стеничное отстаивание своей самостоятельности, стремление к независимости и упрочению своих позиций."
+3-0,"Напряженная, лихорадочная активность, направленная на достижение цели в связи с опасением препятствий и помех."
+3-1,Неудовлетворенность в связи с переживанием утраты или разлада в сфере глубокой привязанности. Стремление забыться в напряженной деятельности.
+3-2,Трудности в преодолении препятствий породили тревогу и неуверенность в себе. Напряженность и стремление реализовать свои намерения могут привести к гневным реакциям.
+3-3,Противоречивое соотношение между потребностью в самостоятельном принятии решений и желанием обрести покой.
+3-4,"Огорчения и чувство бесперспективности являются почвой для стресса. Трудности самореализации и разлад в межличностных контактах компенсируются напряженной деятельностью, направленной на достижение цели."
+3-5,Спонтанность (свобода) самореализации ограничивается стремлением рассудочно взвесить все обстоятельства.
+3-6,"Спонтанная самореализация, доставляющая удовлетворение и повышающая собственную ценность в глазах других."
+3-7,"Стеничность в борьбе с ограничениями и препятствиями на пути самореализации, самостоятельность, потребность в независимости."
+4-0,"Опасения встретить препятствия на пути к достижению желаемых целей вызывает беспокойную активность, направленную на малопродуктивную деятельность."
+4-1,"Напряженность, вызванная неудовлетворенной потребностью в любви, теплых отношениях, ощущение непонятости. Беспокойные поиски новых взаимоотношений, которые могли бы принести радость и спокойствие."
+4-2,"Блокирована потребность в сохранении своих позиций и в уважении со стороны значимых окружающих. Активные поиски средств, которые могли бы повысить реноме личности. Внешнеобвиняющий тип реагирования. Склонность к навязчивым проявлениям."
+4-3,"Возбуждение, поведенческие реакции, импульсивность и повышенная раздражительность на фоне выраженного переутомления, нетерпимость к предъявляемым обстоятельствами требованиям. Ощущение собственного бессилия сочетается с надеждой на избавление от нависшей угрозы."
+4-4,Противоречивое соотношение между оптимистичностью и пессимизмом. Неустойчивое настроение.
+4-5,"Категоричность в критической оценке ситуации, которая воспринимается как непродуманная и дезорганизующая. Потребность в ясности и полном понимании происходящего в целях упорядоченности и планомерности дальнейших действий."
+4-6,"Стремление изменить ситуацию, ущемляющую самолюбие, и произвести должное впечатление в сфере значимых межличностных контактов."
+4-7,"Стремление избежать любых ограничений, стесняющих свободу дальнейшего роста, повышения престижа личности."
+5-0,Опасения помех на пути к достижению цели побуждает к интенсивному использованию интуитивно найденных способов самоактуализации.
+5-1,"Бегство в мир иллюзий, эстетики и искусства от печальной реальности и разочарований в сфере значимых межличностных контактов."
+5-2,"Спад усилий, направленных на достижение цели и повышение собственного статуса. Бегство в мир иллюзий."
+5-3,"Переутомление, стремление избежать возбуждения и новых усилий, бегство в мир иллюзий, более соответствующего собственным представлениям и требованиям."
+5-4,"Состояние разочарованности и бесперспективности, сопровождающееся тревогой и чувством беспомощности. Бегство в мир иллюзорных представлений, отвечающих собственному настроению и желаниям."
+5-5,Противоречивое соотношение между иррациональной чувствительностью и рассудочной критичностью.
+5-6,"Впечатлительность. Стремление к своеобразным увлечениям, оригинальность и субъективизм в ценностной ориентации, чувствительность к средовым воздействиям и потребность в щадящей ""социальной нише""."
+5-7,"Ранимость в отношении критических замечаний, повышенное чувство независимости, потребность в свободе принятия решений и действий. Опора ка интуицию и сугубо индивидуальный способ самореализации."
+6-0,"Тревожные опасения угрозы, усиливающие потребность в спокойствии и безопасности. Поиски условий, создающих чувство устойчивости и возможность расслабления."
+6-1,Блокирована потребность в любви и теплых отношениях. Стремление к избеганию конфликтов и восстановлению душевных сил.
+6-2,"Тревожность и неуверенность в себе. Чувство приниженности, скрываемое из самолюбия, ощущение собственного бессилия перед лицом непреодолимых обстоятельств. Потребность в спокойной и безопасной обстановке, в расслаблении."
+6-3,"Переутомление, чувство бессилия, развившееся в процессе противодействия неблагоприятным обстоятельствам, создает ощущение беспомощности и несчастливости. Потребность в отдыхе и расслаблении."
+6-4,"Тревога и горькая убежденность в том, что бессмысленно надеяться на лучшее. Ощущение утраты сочувствия и признания со стороны значимых окружающих. Потребность в устойчивости собственной позиции и избавлении от страхов и напряженности."
+6-5,Повышенная ранимость в конфликтных ситуациях при повышенной требовательности к социальному окружению.
+6-6,Противоречивое соотношение между потребностью в безопасности и жаждой признания.
+6-7,Потребность в спокойствии и безопасности.
+7-0,"Опасение возможных помех на пути реализации своих намерений вызывает критическое отношение к жизненным ценностям, защитную иронию и цинизм, за которыми скрывается беспомощность, чувство несостоятельности."
+7-1,"Неудовлетворена потребность в любви и понимании. Внешнеобвиняющая реакция на стресс, протестные формы поведения и высказываний."
+7-2,"Перенапряжение усилий, направленных на преодоление препятствий, вызвавшее тревогу и ощущение утраты престижности собственной позиции, тщательно скрываемое. Внешнеобвиняющая реакция, прикрывающая собственное бессилие."
+7-3,"Переутомление, непереносимость к сильным внешним воздействиям, бегство в мир иллюзий, ирреальность требований к окружению, ощущение несчастливости, протестные формы высказываний и поведения, потребность в самостоятельности принятия решений. Возможны импульсивные разрушительно-агрессивные поступки."
+7-4,"Страх, чувство бесперспективности, ощущение утраты личностной позиции, самоуничижение, скрываемое от окружающих и маскируемое нарочитой беспечностью."
+7-5,Субъективизм и индивидуалистичность утрированы и проявляются • в виде негативизма и категоричного критиканства по отношению к любым мнениям и ценностям.
+7-6,"Императивная потребность в уважении, завышенные притязания, стремление претендовать на исключительность, отказ от обыденности и подчиненной позиции."
+7-7,Противоречивое соотношение между отстаиванием собственной индивидуалистичности и негативным отношением ко всему окружающему.
